customer_id,customer_segment,city,state,registration_date,customer_status,preferred_contact_method,loyalty_tier,churn_risk_score,customer_value_score,satisfaction_score
CUS-10034,Individual,Meaganhaven,PA,2021-08-30,Active,Email,Platinum,1,81,73
CUS-10035,Individual,East Nathaniel,GA,2022-09-03,Active,SMS,Bronze,39,40,64
CUS-10036,Individual,New Mariotown,DE,2020-05-19,Active,Email,Bronze,56,62,64
CUS-10037,Individual,Natashaport,IA,2020-03-22,Active,Email,Gold,23,75,82
CUS-10038,Individual,East Natalieland,CO,2024-01-06,Active,Email,Bronze,61,43,77
CUS-10039,Individual,Cabreraside,WI,2024-03-19,Inactive,Email,Silver,86,46,47
CUS-10040,Individual,East Donna,OH,2022-11-02,Active,SMS,Gold,54,64,83
CUS-10041,Individual,West Allison,PA,2022-06-16,Active,Phone,Silver,57,68,82
CUS-10042,Individual,Brandtside,WV,2024-07-31,Active,SMS,Bronze,76,36,61
CUS-10043,Individual,Lake Larry,TN,2020-08-07,Active,Email,Silver,13,64,71
CUS-10044,Family,Samuelhaven,NV,2024-10-12,Active,Email,Platinum,64,82,63
CUS-10045,Family,East Jeffreymouth,AK,2024-08-25,Active,Email,Gold,50,80,70
CUS-10046,Family,New Jeffrey,CA,2023-02-03,Active,Phone,Bronze,69,60,81
CUS-10047,Individual,East Carloston,VI,2022-01-26,Active,Email,Bronze,23,50,58
CUS-10048,Business,Chadbury,KY,2021-03-06,Active,Phone,Gold,10,100,100
CUS-10049,Family,Lewisberg,VA,2025-03-10,Inactive,SMS,Platinum,91,85,78
CUS-10050,Individual,Sanchezfort,AS,2024-02-17,Inactive,Phone,Silver,92,50,59
CUS-10051,Individual,Leeville,TN,2023-12-07,Active,SMS,Gold,24,60,95
CUS-10052,Individual,Gomezchester,NH,2024-08-07,Active,Email,Bronze,32,44,75
CUS-10053,Individual,Lake Deniseville,AR,2020-05-22,Suspended,Email,Gold,55,81,50
CUS-10054,Premium,Chandlerville,IA,2020-08-24,Active,Email,Platinum,1,100,76
CUS-10055,Individual,East Amanda,DC,2021-12-08,Active,Email,Gold,25,63,89
CUS-10056,Business,Whitemouth,IA,2021-01-24,Active,Phone,Silver,44,100,64
CUS-10057,Individual,South Lindseyside,CT,2020-05-23,Inactive,SMS,Gold,62,67,77
CUS-10058,Individual,Lake Yvettetown,CO,2023-09-27,Active,Email,Bronze,28,40,81
CUS-10059,Family,East Richard,NJ,2022-02-15,Active,SMS,Gold,13,91,100
CUS-10060,Family,Port Richard,AR,2021-09-14,Active,Email,Gold,33,90,93
CUS-10061,Individual,South Aaron,MS,2023-10-15,Active,Email,Platinum,60,69,63
CUS-10062,Individual,Saramouth,LA,2023-09-21,Active,Email,Gold,58,61,78
CUS-10063,Individual,Hortonside,TN,2021-02-11,Active,Email,Platinum,29,74,94
CUS-10064,Individual,Mooreport,IL,2023-07-13,Active,Phone,Bronze,45,42,60
CUS-10065,Family,New Jillton,WA,2020-01-12,Active,SMS,Platinum,39,100,77
CUS-10066,Individual,Brianshire,NJ,2025-05-15,Active,Email,Silver,78,43,74
CUS-10067,Individual,North Susan,CO,2022-08-09,Active,SMS,Silver,67,62,86
CUS-10068,Family,North Brooke,TX,2024-12-31,Active,SMS,Silver,77,66,75
CUS-10069,Individual,South David,FM,2024-03-19,Active,Phone,Gold,43,68,100
CUS-10070,Individual,New Brooke,RI,2022-06-19,Active,Email,Bronze,26,55,60
CUS-10071,Individual,South Dianeshire,NC,2021-04-18,Active,Email,Silver,26,65,76
CUS-10072,Individual,Sarahborough,TN,2022-05-01,Active,SMS,Silver,54,67,51
CUS-10073,Business,Johnfurt,DC,2024-04-16,Active,Email,Platinum,14,100,94
CUS-10074,Individual,Stephenland,AL,2024-02-13,Active,Phone,Bronze,34,41,81
CUS-10075,Individual,Howellshire,CT,2022-03-07,Active,Phone,Gold,5,73,77
CUS-10076,Student,New Jasonview,DC,2022-12-29,Active,Email,Silver,10,39,85
CUS-10077,Individual,Nicolebury,MN,2022-08-03,Active,Email,Bronze,36,48,74
CUS-10078,Family,Ericside,VT,2022-02-15,Active,SMS,Gold,47,81,91
CUS-10079,Individual,Cherylhaven,AL,2023-01-09,Active,SMS,Bronze,13,57,60
CUS-10080,Family,Sarahville,FM,2025-04-28,Active,SMS,Silver,35,64,83
CUS-10081,Family,West Darrell,CT,2023-03-01,Inactive,Email,Bronze,62,61,86
CUS-10082,Family,West Juan,IL,2024-03-11,Active,Phone,Bronze,39,56,90
CUS-10083,Individual,Jamesview,NY,2021-09-30,Active,SMS,Silver,62,56,52
CUS-10084,Individual,Kington,CO,2024-08-28,Active,Email,Gold,64,71,65
CUS-10085,Family,Calderonton,AL,2023-03-05,Active,Email,Silver,33,68,86
CUS-10086,Family,Kellieview,GA,2020-01-26,Active,SMS,Bronze,23,85,85
CUS-10087,Family,Arnoldchester,OH,2022-06-10,Active,Phone,Silver,45,85,81
CUS-10088,Individual,North Charlesberg,ND,2024-08-18,Active,Email,Gold,63,54,75
CUS-10089,Business,Port Mikeside,FL,2021-05-14,Active,Phone,Platinum,1,100,100
CUS-10090,Business,Andersonport,MN,2021-01-07,Active,Email,Gold,1,100,87
CUS-10091,Individual,West Jasonbury,TN,2022-11-24,Inactive,Email,Gold,59,74,74
CUS-10092,Family,West Kimberlychester,RI,2023-08-15,Active,Email,Bronze,38,62,78
CUS-10093,Family,East Michelle,AS,2021-09-19,Active,Email,Gold,14,93,100
CUS-10094,Individual,South Angel,WA,2023-12-10,Active,Email,Bronze,66,40,67
CUS-10095,Individual,Kimberlychester,AS,2023-01-02,Suspended,Phone,Bronze,96,52,28
CUS-10096,Family,West Erik,UT,2024-04-05,Active,Email,Bronze,32,62,68
CUS-10097,Individual,South Monicafort,IN,2021-09-11,Active,Phone,Silver,5,68,77
CUS-10098,Family,Port Samantha,MI,2020-09-15,Active,Phone,Bronze,1,81,78
CUS-10099,Individual,Loribury,IN,2022-06-21,Active,SMS,Bronze,61,53,55
CUS-10100,Family,Lake Jamesmouth,KY,2022-03-31,Active,Phone,Gold,4,83,100
CUS-10101,Premium,Port Joshuahaven,MO,2020-06-23,Suspended,Email,Platinum,53,100,69
CUS-10102,Individual,Sheilaville,FM,2022-12-06,Active,SMS,Bronze,45,50,70
CUS-10103,Individual,Gregoryview,AZ,2020-05-03,Active,Phone,Platinum,3,95,83
CUS-10104,Individual,New Ryanmouth,NE,2020-06-15,Active,Email,Bronze,1,57,88
CUS-10105,Family,South Rachelborough,KS,2022-08-20,Active,Email,Gold,41,92,66
CUS-10106,Family,Lake Ryanhaven,AS,2025-03-07,Active,Phone,Silver,71,66,73
CUS-10107,Individual,West Ryan,TN,2021-04-05,Active,SMS,Platinum,1,73,80
CUS-10108,Family,Cindyville,VA,2023-05-03,Active,Phone,Bronze,17,70,76
CUS-10109,Family,Williamchester,MD,2025-04-14,Active,Phone,Silver,58,61,76
CUS-10110,Family,Terryside,DC,2023-05-21,Active,Email,Platinum,63,100,95
CUS-10111,Student,South Elizabeth,MS,2024-04-15,Active,Email,Bronze,68,28,77
CUS-10112,Individual,New Ashley,MO,2022-06-24,Inactive,Email,Silver,76,63,50
CUS-10113,Individual,West Justinchester,WY,2022-04-16,Active,Phone,Platinum,16,82,98
CUS-10114,Individual,Stevenmouth,TX,2025-04-19,Active,Phone,Bronze,25,40,71
CUS-10115,Individual,New Thomas,MH,2024-05-01,Active,Phone,Platinum,52,80,89
CUS-10116,Individual,Lake Christopher,NY,2021-01-19,Active,Phone,Gold,18,63,80
CUS-10117,Individual,Clarencebury,TX,2020-09-25,Inactive,Email,Gold,27,63,100
CUS-10118,Family,Jeffreyborough,FL,2021-05-05,Active,Email,Bronze,26,64,69
CUS-10119,Student,North Johnfort,RI,2025-02-12,Active,SMS,Silver,29,45,73
CUS-10120,Individual,South Robertshire,ID,2021-07-13,Active,Email,Gold,20,78,75
CUS-10121,Individual,Snyderbury,FL,2025-03-02,Active,Phone,Bronze,24,38,82
CUS-10122,Individual,Port Michelleville,WI,2024-06-01,Active,SMS,Bronze,39,50,90
CUS-10123,Student,Robinsonhaven,NH,2022-09-29,Active,Email,Silver,28,54,89
CUS-10124,Individual,New Johnville,NH,2025-03-25,Active,Email,Silver,56,52,63
CUS-10125,Business,Port Steven,NC,2022-04-21,Active,Phone,Platinum,31,100,88
CUS-10126,Student,Stephaniemouth,RI,2024-06-10,Active,SMS,Silver,22,36,88
CUS-10127,Student,Rivasside,NV,2021-11-10,Active,SMS,Gold,26,64,65
CUS-10128,Family,Lake Michelle,NV,2022-04-19,Active,SMS,Bronze,55,67,70
CUS-10129,Family,Karenview,WI,2022-03-25,Active,SMS,Platinum,49,100,85
CUS-10130,Student,Simsview,NV,2023-07-07,Active,Phone,Gold,12,64,72
CUS-10131,Individual,Lake Justinview,MA,2023-11-02,Inactive,SMS,Gold,67,57,97
CUS-10132,Family,Patricialand,DC,2020-07-24,Active,Phone,Platinum,1,100,73
CUS-10133,Individual,East Patrick,FL,2022-02-06,Active,Email,Gold,37,64,73
CUS-10134,Individual,North Robert,MA,2023-06-02,Active,Phone,Bronze,78,53,54
CUS-10135,Individual,Perryborough,MP,2023-07-30,Active,Email,Bronze,71,49,64
CUS-10136,Family,Priceshire,UT,2020-11-19,Active,SMS,Platinum,9,100,96
CUS-10137,Family,Port Nicoleshire,MS,2022-07-24,Active,Email,Bronze,36,61,68
CUS-10138,Individual,Smithstad,ME,2022-01-05,Active,SMS,Silver,57,62,66
CUS-10139,Individual,Castanedachester,ND,2024-11-06,Active,Phone,Bronze,58,46,67
CUS-10140,Family,South Jeffrey,NE,2021-04-16,Active,Email,Gold,29,90,73
CUS-10141,Family,Johnsonmouth,TN,2025-01-24,Active,Email,Gold,12,88,91
CUS-10142,Family,Ramseymouth,PW,2020-07-03,Inactive,Email,Gold,32,88,98
CUS-10143,Business,New Amanda,PW,2022-01-19,Active,SMS,Platinum,1,100,88
CUS-10144,Family,Vargastown,CO,2021-11-24,Active,Email,Bronze,51,67,75
CUS-10145,Student,Taylormouth,HI,2024-07-05,Active,Email,Bronze,36,39,60
CUS-10146,Individual,West Nicholasborough,NH,2023-10-09,Active,Email,Bronze,60,45,54
CUS-10147,Family,Matthewfurt,KY,2022-08-23,Active,SMS,Silver,65,87,61
CUS-10148,Family,Kingland,NJ,2023-07-25,Active,SMS,Bronze,46,58,59
CUS-10149,Individual,Lake Amberstad,IN,2020-03-17,Active,Email,Bronze,56,62,57
CUS-10150,Individual,Port Susanton,WV,2022-01-29,Active,Phone,Platinum,20,87,75
CUS-10151,Business,East Jamestown,RI,2023-09-03,Active,Email,Gold,55,98,61
CUS-10152,Family,East David,TN,2021-03-20,Active,SMS,Platinum,1,100,100
CUS-10153,Premium,New Staciemouth,UT,2023-08-13,Active,Email,Bronze,12,94,63
CUS-10154,Family,Katieburgh,PA,2023-08-07,Active,SMS,Bronze,41,62,60
CUS-10155,Family,Port Loriport,CT,2021-02-24,Active,Phone,Silver,13,79,79
CUS-10156,Family,West Barbarafurt,MO,2024-06-03,Inactive,Email,Gold,49,76,95
CUS-10157,Individual,North Brittany,MP,2020-12-23,Active,SMS,Bronze,22,50,93
CUS-10158,Individual,North Heidi,ME,2020-12-22,Active,Email,Gold,1,65,100
CUS-10159,Individual,Port Tonyaton,MI,2022-01-11,Active,Email,Gold,54,79,62
CUS-10160,Family,Stanleyland,NY,2025-02-04,Active,Phone,Silver,21,61,86
CUS-10161,Family,Alexanderchester,GU,2022-05-23,Active,Email,Platinum,1,90,90
CUS-10162,Family,Garciastad,SC,2020-05-14,Active,Phone,Gold,35,95,87
CUS-10163,Student,Zimmermanchester,HI,2022-12-22,Active,Phone,Silver,59,40,84
CUS-10164,Family,Christinaside,WI,2021-03-16,Active,SMS,Gold,42,96,87
CUS-10165,Individual,Marshallshire,KY,2020-07-13,Active,Email,Silver,9,69,63
CUS-10166,Individual,Melissaland,KY,2020-06-23,Active,Email,Platinum,41,78,97
CUS-10167,Individual,Sanchezmouth,OK,2025-05-13,Active,Email,Bronze,42,43,55
CUS-10168,Student,Rogersfort,PR,2023-05-14,Active,Email,Silver,19,51,71
CUS-10169,Family,Hunterborough,MI,2021-12-18,Active,Email,Platinum,29,97,92
CUS-10170,Family,Matthewview,OH,2024-04-20,Active,Phone,Silver,21,82,73
CUS-10171,Individual,New Stacyland,IA,2021-07-13,Active,Email,Silver,1,56,69
CUS-10172,Individual,Freemanbury,UT,2022-03-31,Active,Phone,Platinum,1,85,83
CUS-10173,Individual,Brewerfort,NV,2022-07-18,Active,Email,Gold,45,76,99
CUS-10174,Individual,North Kellyfurt,UT,2020-04-17,Active,Phone,Bronze,5,53,87
CUS-10175,Family,West Elizabeth,MN,2022-09-21,Active,Email,Bronze,39,60,75
CUS-10176,Individual,Transtad,NE,2021-08-03,Active,Phone,Gold,11,62,82
CUS-10177,Individual,Michaelmouth,KY,2023-05-12,Active,Email,Platinum,49,70,77
CUS-10178,Individual,Johnville,VA,2020-09-02,Active,Phone,Bronze,24,61,70
CUS-10179,Individual,West David,ND,2024-09-02,Active,Email,Bronze,67,33,74
CUS-10180,Individual,East Javier,NJ,2025-03-01,Active,Email,Silver,45,60,77
CUS-10181,Individual,Jennyhaven,PA,2022-04-09,Active,Email,Platinum,34,83,87
CUS-10182,Individual,Tinaborough,LA,2024-09-25,Active,Email,Silver,25,53,74
CUS-10183,Family,West Harry,AL,2021-03-29,Active,Email,Gold,1,98,100
CUS-10184,Individual,West Brandon,AR,2024-05-08,Active,Phone,Gold,62,57,73
CUS-10185,Individual,Heidiberg,SC,2021-06-08,Active,Phone,Platinum,32,73,75
CUS-10186,Student,Garciatown,OK,2023-07-10,Active,Phone,Gold,38,63,100
CUS-10187,Student,Taylormouth,MA,2021-10-23,Active,Phone,Bronze,7,45,87
CUS-10188,Family,North Johnny,VI,2024-06-18,Active,Email,Silver,39,76,81
CUS-10189,Individual,Wilsonland,MO,2022-01-25,Active,Email,Platinum,48,71,100
CUS-10190,Individual,Joneston,FL,2022-02-26,Active,Phone,Platinum,51,70,88
CUS-10191,Premium,Port Anna,ME,2023-03-16,Active,Email,Gold,1,100,98
CUS-10192,Individual,East Davidchester,PA,2025-01-15,Active,SMS,Bronze,61,35,50
CUS-10193,Individual,Port Alexandra,NV,2022-06-15,Suspended,Phone,Silver,69,59,35
CUS-10194,Individual,Evansshire,NE,2024-05-05,Active,Phone,Gold,51,63,64
CUS-10195,Individual,Ashleyton,RI,2023-02-16,Active,Email,Gold,41,75,71
CUS-10196,Individual,Port Jaredborough,KS,2023-04-08,Active,SMS,Bronze,51,48,58
CUS-10197,Individual,East Johnside,CA,2025-04-05,Active,Phone,Silver,41,44,85
CUS-10198,Individual,North Ricky,UT,2023-10-05,Active,Email,Bronze,31,40,75
CUS-10199,Premium,Carterbury,LA,2022-09-22,Active,SMS,Bronze,10,85,90
CUS-10200,Family,Jacquelinemouth,CA,2024-09-06,Active,Phone,Silver,76,81,53
CUS-10201,Individual,West Kristin,SC,2020-11-11,Active,SMS,Platinum,41,78,90
CUS-10202,Individual,South Danny,IN,2022-01-16,Active,Email,Gold,12,73,82
CUS-10203,Individual,West Margaret,CA,2021-09-25,Suspended,Phone,Platinum,44,81,68
CUS-10204,Student,East Laurashire,PW,2022-08-03,Active,Phone,Silver,33,43,66
CUS-10205,Family,Scottmouth,UT,2020-10-10,Active,Email,Gold,13,100,74
CUS-10206,Family,Hollyview,NY,2022-11-22,Active,Email,Gold,15,91,99
CUS-10207,Individual,Kimton,FM,2022-06-14,Active,SMS,Gold,52,69,61
CUS-10208,Individual,Navarroview,AK,2022-03-22,Active,Email,Platinum,18,76,68
CUS-10209,Individual,East Suzanneshire,OR,2020-07-21,Active,Phone,Platinum,1,75,88
CUS-10210,Premium,Port Emilyview,OK,2022-08-25,Active,Email,Platinum,10,100,68
CUS-10211,Premium,Port Katelynfort,NC,2020-02-08,Active,SMS,Platinum,21,100,99
CUS-10212,Individual,Moonburgh,OR,2024-05-08,Active,Email,Bronze,46,53,90
CUS-10213,Individual,Waltersfort,CO,2020-08-15,Active,Email,Gold,30,80,100
CUS-10214,Individual,Baileymouth,MD,2020-10-21,Active,Email,Silver,36,66,64
CUS-10215,Family,Port Eugenechester,UT,2020-06-24,Active,Email,Platinum,24,100,98
CUS-10216,Individual,Robertsfurt,GU,2022-03-10,Active,Email,Silver,28,57,56
CUS-10217,Individual,South Christopherview,MD,2020-05-18,Active,Phone,Gold,39,82,84
CUS-10218,Individual,Port Richardhaven,GU,2021-12-22,Active,SMS,Bronze,53,54,80
CUS-10219,Family,Lake Mollymouth,MT,2024-07-19,Active,Phone,Platinum,12,91,80
CUS-10220,Individual,East Aprilfort,SC,2021-02-12,Active,Email,Silver,25,69,85
CUS-10221,Individual,Wolfborough,KY,2024-03-22,Active,Email,Gold,13,73,89
CUS-10222,Individual,West Samuel,UT,2024-06-25,Active,SMS,Gold,67,64,78
CUS-10223,Student,Martinezbury,VT,2022-10-13,Active,Email,Gold,15,49,94
CUS-10224,Individual,West Andrea,OH,2023-05-18,Suspended,Email,Bronze,66,37,37
CUS-10225,Family,Davisville,NH,2021-09-19,Active,Phone,Bronze,30,71,82
CUS-10226,Individual,Lake Marilynfort,VT,2024-11-16,Inactive,Phone,Silver,90,42,46
CUS-10227,Family,Williamview,MT,2022-04-11,Active,SMS,Gold,55,79,68
CUS-10228,Family,Bairdbury,NH,2023-10-20,Active,Email,Bronze,69,74,70
CUS-10229,Individual,South James,PA,2025-04-28,Active,Phone,Silver,80,51,67
CUS-10230,Individual,Port Chad,WI,2020-06-06,Active,Phone,Silver,41,62,67
CUS-10231,Student,Morganhaven,KY,2020-02-23,Active,Email,Silver,35,48,69
CUS-10232,Family,West Jessicashire,OR,2023-12-12,Active,SMS,Bronze,78,69,57
CUS-10233,Individual,Grimesmouth,ND,2024-10-12,Active,Email,Gold,15,61,89
CUS-10234,Family,Reedside,WV,2023-01-31,Active,SMS,Gold,44,96,73
CUS-10235,Family,Gibsonmouth,VI,2022-11-07,Active,SMS,Gold,13,92,69
CUS-10236,Individual,Lake John,MS,2023-03-18,Active,SMS,Silver,49,48,55
CUS-10237,Individual,Port Kimberly,AZ,2024-01-08,Active,Phone,Gold,62,72,62
CUS-10238,Individual,Juliefurt,MS,2021-10-11,Active,Email,Gold,15,64,100
CUS-10239,Family,South Tammie,DC,2021-01-07,Active,Email,Gold,45,84,68
CUS-10240,Individual,Mollymouth,CT,2021-09-14,Active,Email,Platinum,14,86,86
CUS-10241,Family,Smithberg,MT,2021-05-28,Active,SMS,Silver,41,80,91
CUS-10242,Individual,North Terrance,KS,2022-10-26,Active,Phone,Silver,18,66,95
CUS-10243,Individual,Cindyfurt,SD,2025-03-07,Active,SMS,Bronze,22,50,92
CUS-10244,Individual,Port Markside,MS,2021-03-07,Active,Email,Gold,21,82,100
CUS-10245,Individual,Courtneyfort,VI,2025-05-13,Active,Email,Gold,35,59,92
CUS-10246,Individual,New Caseyport,IN,2020-05-02,Active,Email,Gold,11,84,77
CUS-10247,Individual,South Tiffanyville,NV,2024-01-11,Active,SMS,Bronze,45,38,74
CUS-10248,Individual,Lake Kevin,AK,2020-08-05,Active,Email,Silver,15,58,63
CUS-10249,Individual,West Lauraport,MI,2025-04-20,Active,Phone,Bronze,75,35,65
CUS-10250,Premium,Ryanbury,NC,2024-01-16,Active,Phone,Gold,27,100,96
CUS-10251,Business,Knightburgh,GA,2022-10-15,Active,SMS,Gold,1,98,100
CUS-10252,Individual,North Chelsea,MS,2020-04-13,Active,Phone,Platinum,33,90,82
CUS-10253,Individual,South Roberta,FL,2024-10-01,Active,Email,Bronze,43,43,75
CUS-10254,Individual,South Dana,NH,2020-04-14,Active,Email,Gold,1,77,100
CUS-10255,Individual,Elizabethmouth,MH,2023-01-31,Active,SMS,Silver,16,50,63
CUS-10256,Individual,Ericaburgh,CA,2024-06-15,Suspended,Phone,Bronze,69,38,55
CUS-10257,Individual,Landryshire,ME,2022-10-21,Active,Email,Gold,49,72,94
CUS-10258,Individual,Vaughnmouth,PR,2023-05-26,Active,Email,Platinum,30,70,89
CUS-10259,Student,Jamesfurt,PR,2024-02-23,Active,Phone,Silver,52,50,81
CUS-10260,Family,Rodriguezfurt,OK,2021-09-05,Active,Email,Silver,9,84,96
CUS-10261,Individual,Baileyport,AK,2025-01-14,Active,Phone,Bronze,50,38,87
CUS-10262,Individual,Hillshire,VI,2024-01-17,Active,Email,Silver,66,62,71
CUS-10263,Individual,New Julieport,WI,2023-10-26,Active,Phone,Gold,22,54,94
CUS-10264,Individual,New Laurie,IN,2020-11-06,Active,Email,Gold,29,78,68
CUS-10265,Family,New John,WV,2022-11-28,Active,Email,Silver,41,79,72
CUS-10266,Student,Lake Colton,SC,2022-07-30,Inactive,Email,Bronze,86,48,59
CUS-10267,Family,West Kristinaton,OR,2021-01-28,Suspended,Email,Silver,100,81,28
CUS-10268,Family,Jessicaland,PW,2023-11-14,Active,Email,Bronze,79,62,63
CUS-10269,Individual,Markchester,HI,2023-10-17,Active,SMS,Bronze,42,38,70
CUS-10270,Individual,East Kristin,FM,2025-05-10,Active,Email,Silver,36,55,66
CUS-10271,Individual,Alyssaview,MP,2023-01-08,Active,Phone,Bronze,15,56,94
CUS-10272,Individual,West Robin,NJ,2020-04-13,Active,Phone,Gold,1,68,96
CUS-10273,Individual,Juliemouth,AS,2022-08-25,Active,Phone,Bronze,42,43,78
CUS-10274,Family,South Sydneyberg,WV,2024-12-08,Active,Email,Bronze,38,61,71
CUS-10275,Family,Port Erica,TX,2025-02-02,Active,Phone,Bronze,67,51,58
CUS-10276,Individual,Coffeyside,MN,2024-09-11,Active,SMS,Platinum,35,77,74
CUS-10277,Premium,Port Ralphview,ND,2025-05-24,Active,Email,Bronze,24,93,94
CUS-10278,Individual,South Miguelview,OR,2021-11-17,Active,SMS,Gold,24,64,98
CUS-10279,Individual,Carsonstad,CT,2021-01-29,Active,Email,Platinum,31,80,75
CUS-10280,Individual,South Angel,FM,2021-11-21,Active,Phone,Platinum,4,89,100
CUS-10281,Business,Rosebury,SD,2024-08-20,Active,Email,Gold,1,92,78
CUS-10282,Individual,Lake Madisonport,SD,2025-03-31,Active,Email,Bronze,68,38,68
CUS-10283,Individual,Wilsonton,AZ,2024-01-20,Active,Email,Bronze,35,34,60
CUS-10284,Individual,Wendyville,CT,2020-11-23,Active,Phone,Platinum,35,82,70
CUS-10285,Family,New Derek,NH,2025-04-10,Active,Phone,Bronze,28,65,64
CUS-10286,Individual,Ellenside,MT,2023-05-25,Active,Phone,Platinum,58,82,72
CUS-10287,Family,South Diana,MP,2023-10-25,Active,SMS,Bronze,48,70,74
CUS-10288,Individual,Gilbertview,AZ,2023-03-01,Active,SMS,Platinum,11,84,100
CUS-10289,Individual,Jeffmouth,IA,2021-11-02,Active,Email,Gold,38,78,94
CUS-10290,Individual,Corystad,ND,2022-11-11,Active,Email,Bronze,34,51,90
CUS-10291,Individual,Bruceview,ID,2022-08-04,Active,Email,Bronze,23,38,69
CUS-10292,Individual,Port Madisonland,TN,2020-04-02,Active,Phone,Gold,1,67,100
CUS-10293,Individual,Lake Danielle,AK,2022-04-17,Active,Email,Gold,41,79,88
CUS-10294,Individual,Port Matthewberg,WY,2024-12-30,Active,SMS,Platinum,34,63,98
CUS-10295,Individual,North Maria,OH,2024-10-27,Active,Email,Silver,53,45,64
CUS-10296,Family,New Jason,VI,2024-03-28,Active,Email,Silver,54,76,84
CUS-10297,Individual,West Kim,WY,2021-04-15,Active,Email,Silver,59,55,51
CUS-10298,Family,West Micheleberg,DC,2022-05-08,Active,SMS,Platinum,10,95,72
CUS-10299,Individual,Laurenville,TN,2020-03-09,Active,Phone,Platinum,5,76,94
CUS-10300,Individual,East Alexisbury,OR,2023-01-10,Active,SMS,Bronze,41,46,66
CUS-10301,Family,Alfredview,AR,2024-02-07,Active,Phone,Gold,62,83,73
CUS-10302,Individual,Lake Robert,DE,2020-10-20,Suspended,Phone,Gold,47,64,66
CUS-10303,Premium,South Shanestad,NY,2024-12-06,Active,Email,Gold,30,100,67
CUS-10304,Student,South Williamton,VA,2025-04-12,Active,Email,Silver,64,43,74
CUS-10305,Individual,Stephentown,AR,2022-02-09,Active,Phone,Silver,18,58,66
CUS-10306,Family,Boonechester,TX,2025-02-16,Active,Email,Silver,53,64,74
CUS-10307,Individual,South Jennifermouth,CA,2021-02-20,Active,Email,Gold,13,64,100
CUS-10308,Family,West Charleneland,DC,2021-01-25,Active,Email,Gold,1,84,82
CUS-10309,Family,Claudiashire,OH,2023-04-18,Active,Phone,Silver,65,76,66
CUS-10310,Student,Oscarhaven,LA,2020-02-01,Active,Email,Platinum,37,80,78
