billing_id,subscription_id,customer_id,billing_date,due_date,base_amount,additional_charges,tax_amount,total_amount,payment_amount,payment_date,payment_method,status,billing_cycle
BILL-1234589451,SUB-10001613,CUS-11097,2025-02-01,2025-02-15,106.26,41.46,12.6,160.32,160.32,2025-02-07,Check,Paid,2025-02-01
BILL-1234589452,SUB-10001613,CUS-11097,2025-03-01,2025-03-15,106.26,0,10.88,117.14,117.14,2025-03-06,PayPal,Paid,2025-03-01
BILL-1234589453,SUB-10001613,CUS-11097,2025-04-01,2025-04-15,106.26,36.96,12.86,156.08,156.08,2025-04-11,PayPal,Paid,2025-04-01
BILL-1234589454,SUB-10001613,CUS-11097,2025-05-01,2025-05-15,106.26,0,11.04,117.3,117.3,2025-05-13,PayPal,Paid,2025-05-01
BILL-1234589455,SUB-10001613,CUS-11097,2025-06-01,2025-06-15,106.26,0,12.1,118.36,null,null,null,Unpaid,2025-06-01
BILL-1234589456,SUB-10001614,CUS-11098,2024-01-01,2024-01-15,103.72,0,9.08,112.8,112.8,2024-01-10,PayPal,Paid,2024-01-01
BILL-1234589457,SUB-10001614,CUS-11098,2024-02-01,2024-02-15,103.72,0,11.15,114.87,114.87,2024-02-11,PayPal,Paid,2024-02-01
BILL-1234589458,SUB-10001614,CUS-11098,2024-03-01,2024-03-15,103.72,0,9.35,113.07,113.07,2024-03-05,Credit Card,Paid,2024-03-01
BILL-1234589459,SUB-10001614,CUS-11098,2024-04-01,2024-04-15,103.72,38.93,15.32,157.97,157.97,2024-04-09,Check,Paid,2024-04-01
BILL-1234589460,SUB-10001614,CUS-11098,2024-05-01,2024-05-15,103.72,0,12.16,115.88,115.88,2024-05-03,Credit Card,Paid,2024-05-01
BILL-1234589461,SUB-10001614,CUS-11098,2024-06-01,2024-06-15,103.72,43.04,13.53,160.29,160.29,2024-06-02,Bank Transfer,Paid,2024-06-01
BILL-1234589462,SUB-10001614,CUS-11098,2024-07-01,2024-07-15,103.72,14.02,11.05,128.79,128.79,2024-07-05,Credit Card,Paid,2024-07-01
BILL-1234589463,SUB-10001614,CUS-11098,2024-08-01,2024-08-15,103.72,0,11.58,115.3,115.3,2024-08-06,PayPal,Paid,2024-08-01
BILL-1234589464,SUB-10001614,CUS-11098,2024-09-01,2024-09-15,103.72,22.64,11.38,137.74,137.74,2024-09-10,Credit Card,Paid,2024-09-01
BILL-1234589465,SUB-10001614,CUS-11098,2024-10-01,2024-10-15,103.72,22.52,14.43,140.67,140.67,2024-10-14,Check,Paid,2024-10-01
BILL-1234589466,SUB-10001614,CUS-11098,2024-11-01,2024-11-15,103.72,0,9.31,113.03,113.03,2024-11-04,Bank Transfer,Paid,2024-11-01
BILL-1234589467,SUB-10001614,CUS-11098,2024-12-01,2024-12-15,103.72,0,9.48,113.2,113.2,2024-12-13,Bank Transfer,Paid,2024-12-01
BILL-1234589468,SUB-10001614,CUS-11098,2025-01-01,2025-01-15,103.72,30.48,11.52,145.72,145.72,2025-01-16,Bank Transfer,Paid,2025-01-01
BILL-1234589469,SUB-10001614,CUS-11098,2025-02-01,2025-02-15,103.72,0,12.38,116.1,116.1,2025-02-11,PayPal,Paid,2025-02-01
BILL-1234589470,SUB-10001614,CUS-11098,2025-03-01,2025-03-15,103.72,28.5,15.27,147.49,147.49,2025-03-15,Check,Paid,2025-03-01
BILL-1234589471,SUB-10001614,CUS-11098,2025-04-01,2025-04-15,103.72,33.8,13.72,151.24,151.24,2025-04-18,PayPal,Paid,2025-04-01
BILL-1234589472,SUB-10001614,CUS-11098,2025-05-01,2025-05-15,103.72,0,10.87,114.59,61.23,2025-05-22,Credit Card,Partial,2025-05-01
BILL-1234589473,SUB-10001614,CUS-11098,2025-06-01,2025-06-15,103.72,0,9.28,113,113,2025-06-15,Credit Card,Paid,2025-06-01
BILL-1234589474,SUB-10001615,CUS-11099,2024-09-01,2024-09-15,255.72,0,26.42,282.14,282.14,2024-09-18,PayPal,Paid,2024-09-01
BILL-1234589475,SUB-10001615,CUS-11099,2024-10-01,2024-10-15,255.72,0,30.58,286.3,286.3,2024-10-17,PayPal,Paid,2024-10-01
BILL-1234589476,SUB-10001615,CUS-11099,2024-11-01,2024-11-15,255.72,0,28.09,283.81,283.81,2024-11-06,PayPal,Paid,2024-11-01
BILL-1234589477,SUB-10001615,CUS-11099,2024-12-01,2024-12-15,255.72,15.98,23.84,295.54,295.54,2024-12-13,Credit Card,Paid,2024-12-01
BILL-1234589478,SUB-10001615,CUS-11099,2025-01-01,2025-01-15,255.72,6.43,30.67,292.82,292.82,2025-01-04,Credit Card,Paid,2025-01-01
BILL-1234589479,SUB-10001615,CUS-11099,2025-02-01,2025-02-15,255.72,0,28.46,284.18,284.18,2025-02-13,Check,Paid,2025-02-01
BILL-1234589480,SUB-10001615,CUS-11099,2025-03-01,2025-03-15,255.72,0,22.45,278.17,278.17,2025-03-10,PayPal,Paid,2025-03-01
BILL-1234589481,SUB-10001615,CUS-11099,2025-04-01,2025-04-15,255.72,39.97,31.05,326.74,326.74,2025-04-08,Check,Paid,2025-04-01
BILL-1234589482,SUB-10001615,CUS-11099,2025-05-01,2025-05-15,255.72,43.51,29.41,328.64,328.64,2025-05-05,Check,Paid,2025-05-01
BILL-1234589483,SUB-10001615,CUS-11099,2025-06-01,2025-06-15,255.72,0,23.94,279.66,279.66,2025-06-08,Credit Card,Paid,2025-06-01
BILL-1234589484,SUB-10001616,CUS-11099,2024-10-01,2024-10-15,78.78,0,8.07,86.85,86.85,2024-10-05,Credit Card,Paid,2024-10-01
BILL-1234589485,SUB-10001616,CUS-11099,2024-11-01,2024-11-15,78.78,0,7.3,86.08,86.08,2024-11-02,Check,Paid,2024-11-01
BILL-1234589486,SUB-10001616,CUS-11099,2024-12-01,2024-12-15,78.78,0,7.45,86.23,86.23,2024-12-11,Credit Card,Paid,2024-12-01
BILL-1234589487,SUB-10001616,CUS-11099,2025-01-01,2025-01-15,78.78,11.53,9.5,99.81,99.81,2025-01-16,Credit Card,Paid,2025-01-01
BILL-1234589488,SUB-10001616,CUS-11099,2025-02-01,2025-02-15,78.78,0,9.24,88.02,88.02,2025-02-07,Credit Card,Paid,2025-02-01
BILL-1234589489,SUB-10001616,CUS-11099,2025-03-01,2025-03-15,78.78,0,7.88,86.66,86.66,2025-03-13,Credit Card,Paid,2025-03-01
BILL-1234589490,SUB-10001616,CUS-11099,2025-04-01,2025-04-15,78.78,0,8.13,86.91,86.91,2025-04-15,Check,Paid,2025-04-01
BILL-1234589491,SUB-10001616,CUS-11099,2025-05-01,2025-05-15,78.78,0,6.81,85.59,null,null,null,Unpaid,2025-05-01
BILL-1234589492,SUB-10001616,CUS-11099,2025-06-01,2025-06-15,78.78,0,9.32,88.1,88.1,2025-06-08,Bank Transfer,Paid,2025-06-01
BILL-1234589493,SUB-10001618,CUS-11099,2024-11-01,2024-11-15,79.99,23.09,12.35,115.43,115.43,2024-11-07,Credit Card,Paid,2024-11-01
BILL-1234589494,SUB-10001618,CUS-11099,2024-12-01,2024-12-15,79.99,0,8.6,88.59,88.59,2024-12-06,Credit Card,Paid,2024-12-01
BILL-1234589495,SUB-10001618,CUS-11099,2025-01-01,2025-01-15,79.99,43.25,14.45,137.69,null,null,null,Unpaid,2025-01-01
BILL-1234589496,SUB-10001618,CUS-11099,2025-02-01,2025-02-15,79.99,0,7.61,87.6,87.6,2025-02-14,Credit Card,Paid,2025-02-01
BILL-1234589497,SUB-10001618,CUS-11099,2025-03-01,2025-03-15,79.99,39.04,12.63,131.66,131.66,2025-03-09,Check,Paid,2025-03-01
BILL-1234589498,SUB-10001618,CUS-11099,2025-04-01,2025-04-15,79.99,49.46,14.09,143.54,143.54,2025-04-03,Check,Paid,2025-04-01
BILL-1234589499,SUB-10001618,CUS-11099,2025-05-01,2025-05-15,79.99,0,6.64,86.63,86.63,2025-05-13,Credit Card,Paid,2025-05-01
BILL-1234589500,SUB-10001618,CUS-11099,2025-06-01,2025-06-15,79.99,0,9.44,89.43,null,null,null,Late,2025-06-01
BILL-1234589501,SUB-10001619,CUS-11099,2024-04-01,2024-04-15,207.59,0,23.73,231.32,231.32,2024-04-08,Credit Card,Paid,2024-04-01
BILL-1234589502,SUB-10001619,CUS-11099,2024-05-01,2024-05-15,207.59,0,19,226.59,226.59,2024-05-06,Credit Card,Paid,2024-05-01
BILL-1234589503,SUB-10001619,CUS-11099,2024-06-01,2024-06-15,207.59,0,17.88,225.47,225.47,2024-06-15,Check,Paid,2024-06-01
BILL-1234589504,SUB-10001619,CUS-11099,2024-07-01,2024-07-15,207.59,0,20.98,228.57,228.57,2024-07-05,PayPal,Paid,2024-07-01
BILL-1234589505,SUB-10001619,CUS-11099,2024-08-01,2024-08-15,207.59,0,19.31,226.9,226.9,2024-08-13,Credit Card,Paid,2024-08-01
BILL-1234589506,SUB-10001619,CUS-11099,2024-09-01,2024-09-15,207.59,0,20,227.59,227.59,2024-09-03,PayPal,Paid,2024-09-01
BILL-1234589507,SUB-10001619,CUS-11099,2024-10-01,2024-10-15,207.59,0,23.4,230.99,230.99,2024-10-08,PayPal,Paid,2024-10-01
BILL-1234589508,SUB-10001619,CUS-11099,2024-11-01,2024-11-15,207.59,0,16.76,224.35,224.35,2024-11-18,Credit Card,Paid,2024-11-01
BILL-1234589509,SUB-10001619,CUS-11099,2024-12-01,2024-12-15,207.59,33.15,27.88,268.62,268.62,2024-12-03,Credit Card,Paid,2024-12-01
BILL-1234589510,SUB-10001619,CUS-11099,2025-01-01,2025-01-15,207.59,0,22.73,230.32,230.32,2025-01-15,Bank Transfer,Paid,2025-01-01
BILL-1234589511,SUB-10001619,CUS-11099,2025-02-01,2025-02-15,207.59,0,22.9,230.49,230.49,2025-02-13,PayPal,Paid,2025-02-01
BILL-1234589512,SUB-10001619,CUS-11099,2025-03-01,2025-03-15,207.59,0,23.59,231.18,231.18,2025-03-13,Bank Transfer,Paid,2025-03-01
BILL-1234589513,SUB-10001619,CUS-11099,2025-04-01,2025-04-15,207.59,0,21.79,229.38,null,null,null,Late,2025-04-01
BILL-1234589514,SUB-10001619,CUS-11099,2025-05-01,2025-05-15,207.59,35.33,19.55,262.47,99.02,2025-05-18,Check,Partial,2025-05-01
BILL-1234589515,SUB-10001619,CUS-11099,2025-06-01,2025-06-15,207.59,5.94,25.05,238.58,238.58,2025-06-09,PayPal,Paid,2025-06-01
BILL-1234589516,SUB-10001622,CUS-11102,2024-01-01,2024-01-15,76.42,0,8.23,84.65,84.65,2024-01-08,Bank Transfer,Paid,2024-01-01
BILL-1234589517,SUB-10001622,CUS-11102,2024-02-01,2024-02-15,76.42,45.05,11.82,133.29,133.29,2024-02-07,Check,Paid,2024-02-01
BILL-1234589518,SUB-10001622,CUS-11102,2024-03-01,2024-03-15,76.42,21.95,9.65,108.02,108.02,2024-03-04,Check,Paid,2024-03-01
BILL-1234589519,SUB-10001622,CUS-11102,2024-04-01,2024-04-15,76.42,0,8.19,84.61,84.61,2024-04-14,Credit Card,Paid,2024-04-01
BILL-1234589520,SUB-10001622,CUS-11102,2024-05-01,2024-05-15,76.42,0,8.22,84.64,84.64,2024-05-13,Credit Card,Paid,2024-05-01
BILL-1234589521,SUB-10001622,CUS-11102,2024-06-01,2024-06-15,76.42,0,6.16,82.58,82.58,2024-06-16,Credit Card,Paid,2024-06-01
BILL-1234589522,SUB-10001622,CUS-11102,2024-07-01,2024-07-15,76.42,0,7.54,83.96,83.96,2024-07-13,Bank Transfer,Paid,2024-07-01
BILL-1234589523,SUB-10001622,CUS-11102,2024-08-01,2024-08-15,76.42,0,7.72,84.14,84.14,2024-08-15,Check,Paid,2024-08-01
BILL-1234589524,SUB-10001622,CUS-11102,2024-09-01,2024-09-15,76.42,0,6.29,82.71,82.71,2024-09-12,Bank Transfer,Paid,2024-09-01
BILL-1234589525,SUB-10001622,CUS-11102,2024-10-01,2024-10-15,76.42,0,7.07,83.49,83.49,2024-10-15,Check,Paid,2024-10-01
BILL-1234589526,SUB-10001622,CUS-11102,2024-11-01,2024-11-15,76.42,35.49,12.99,124.9,124.9,2024-11-09,Check,Paid,2024-11-01
BILL-1234589527,SUB-10001622,CUS-11102,2024-12-01,2024-12-15,76.42,0,7.42,83.84,83.84,2024-12-08,Check,Paid,2024-12-01
BILL-1234589528,SUB-10001622,CUS-11102,2025-01-01,2025-01-15,76.42,0,6.53,82.95,82.95,2025-01-09,Check,Paid,2025-01-01
BILL-1234589529,SUB-10001622,CUS-11102,2025-02-01,2025-02-15,76.42,0,6.99,83.41,83.41,2025-02-03,Bank Transfer,Paid,2025-02-01
BILL-1234589530,SUB-10001622,CUS-11102,2025-03-01,2025-03-15,76.42,0,6.68,83.1,83.1,2025-03-12,Credit Card,Paid,2025-03-01
BILL-1234589531,SUB-10001622,CUS-11102,2025-04-01,2025-04-15,76.42,19.4,9.12,104.94,null,null,null,Late,2025-04-01
BILL-1234589532,SUB-10001622,CUS-11102,2025-05-01,2025-05-15,76.42,0,8.02,84.44,84.44,2025-05-03,Bank Transfer,Paid,2025-05-01
BILL-1234589533,SUB-10001622,CUS-11102,2025-06-01,2025-06-15,76.42,0,8.67,85.09,85.09,2025-06-14,Check,Paid,2025-06-01
BILL-1234589534,SUB-10001623,CUS-11102,2024-01-01,2024-01-15,99.99,28.6,13.26,141.85,141.85,2024-01-04,Bank Transfer,Paid,2024-01-01
BILL-1234589535,SUB-10001623,CUS-11102,2024-02-01,2024-02-15,99.99,0,8.07,108.06,108.06,2024-02-08,Bank Transfer,Paid,2024-02-01
BILL-1234589536,SUB-10001623,CUS-11102,2024-03-01,2024-03-15,99.99,0,10.35,110.34,110.34,2024-03-07,Check,Paid,2024-03-01
BILL-1234589537,SUB-10001623,CUS-11102,2024-04-01,2024-04-15,99.99,35.99,12.08,148.06,148.06,2024-04-03,Credit Card,Paid,2024-04-01
BILL-1234589538,SUB-10001623,CUS-11102,2024-05-01,2024-05-15,99.99,20.7,13.55,134.24,134.24,2024-05-14,PayPal,Paid,2024-05-01
BILL-1234589539,SUB-10001623,CUS-11102,2024-06-01,2024-06-15,99.99,0,9.58,109.57,null,null,null,Unpaid,2024-06-01
BILL-1234589540,SUB-10001623,CUS-11102,2024-07-01,2024-07-15,99.99,0,11.7,111.69,111.69,2024-07-10,Bank Transfer,Paid,2024-07-01
BILL-1234589541,SUB-10001623,CUS-11102,2024-08-01,2024-08-15,99.99,0,8.68,108.67,108.67,2024-08-17,Check,Paid,2024-08-01
BILL-1234589542,SUB-10001623,CUS-11102,2024-09-01,2024-09-15,99.99,38.42,14.39,152.8,152.8,2024-09-13,Bank Transfer,Paid,2024-09-01
BILL-1234589543,SUB-10001623,CUS-11102,2024-10-01,2024-10-15,99.99,0,8.59,108.58,108.58,2024-10-18,Check,Paid,2024-10-01
BILL-1234589544,SUB-10001623,CUS-11102,2024-11-01,2024-11-15,99.99,39.67,15.85,155.51,155.51,2024-11-10,Bank Transfer,Paid,2024-11-01
BILL-1234589545,SUB-10001623,CUS-11102,2024-12-01,2024-12-15,99.99,0,11.22,111.21,111.21,2024-12-14,Check,Paid,2024-12-01
BILL-1234589546,SUB-10001623,CUS-11102,2025-01-01,2025-01-15,99.99,43.92,13.58,157.49,157.49,2025-01-10,Bank Transfer,Paid,2025-01-01
BILL-1234589547,SUB-10001623,CUS-11102,2025-02-01,2025-02-15,99.99,0,9.85,109.84,109.84,2025-02-13,Check,Paid,2025-02-01
BILL-1234589548,SUB-10001623,CUS-11102,2025-03-01,2025-03-15,99.99,0,9.2,109.19,109.19,2025-03-14,Credit Card,Paid,2025-03-01
BILL-1234589549,SUB-10001623,CUS-11102,2025-04-01,2025-04-15,99.99,0,9.51,109.5,109.5,2025-04-05,PayPal,Paid,2025-04-01
BILL-1234589550,SUB-10001623,CUS-11102,2025-05-01,2025-05-15,99.99,0,11.19,111.18,null,null,null,Unpaid,2025-05-01
BILL-1234589551,SUB-10001623,CUS-11102,2025-06-01,2025-06-15,99.99,0,9.34,109.33,68.51,2025-06-19,Check,Partial,2025-06-01
BILL-1234589552,SUB-10001625,CUS-11104,2024-01-01,2024-01-15,106.26,0,12.1,118.36,118.36,2024-01-06,Credit Card,Paid,2024-01-01
BILL-1234589553,SUB-10001625,CUS-11104,2024-02-01,2024-02-15,106.26,0,10.52,116.78,116.78,2024-02-06,PayPal,Paid,2024-02-01
BILL-1234589554,SUB-10001625,CUS-11104,2024-03-01,2024-03-15,106.26,0,8.85,115.11,115.11,2024-03-02,PayPal,Paid,2024-03-01
BILL-1234589555,SUB-10001625,CUS-11104,2024-04-01,2024-04-15,106.26,48.84,17.24,172.34,172.34,2024-04-14,Bank Transfer,Paid,2024-04-01
BILL-1234589556,SUB-10001625,CUS-11104,2024-05-01,2024-05-15,106.26,0,10.03,116.29,116.29,2024-05-15,Credit Card,Paid,2024-05-01
BILL-1234589557,SUB-10001625,CUS-11104,2024-06-01,2024-06-15,106.26,0,9.55,115.81,115.81,2024-06-18,PayPal,Paid,2024-06-01
BILL-1234589558,SUB-10001625,CUS-11104,2024-07-01,2024-07-15,106.26,0,11.05,117.31,117.31,2024-07-14,PayPal,Paid,2024-07-01
BILL-1234589559,SUB-10001625,CUS-11104,2024-08-01,2024-08-15,106.26,0,10.26,116.52,116.52,2024-08-02,Bank Transfer,Paid,2024-08-01
BILL-1234589560,SUB-10001625,CUS-11104,2024-09-01,2024-09-15,106.26,0,9.51,115.77,115.77,2024-09-17,Credit Card,Paid,2024-09-01
BILL-1234589561,SUB-10001625,CUS-11104,2024-10-01,2024-10-15,106.26,0,11.5,117.76,117.76,2024-10-04,Check,Paid,2024-10-01
BILL-1234589562,SUB-10001625,CUS-11104,2024-11-01,2024-11-15,106.26,0,11.57,117.83,117.83,2024-11-18,Credit Card,Paid,2024-11-01
BILL-1234589563,SUB-10001625,CUS-11104,2024-12-01,2024-12-15,106.26,24.44,11.18,141.88,141.88,2024-12-10,Bank Transfer,Paid,2024-12-01
BILL-1234589564,SUB-10001625,CUS-11104,2025-01-01,2025-01-15,106.26,0,11.42,117.68,117.68,2025-01-17,PayPal,Paid,2025-01-01
BILL-1234589565,SUB-10001625,CUS-11104,2025-02-01,2025-02-15,106.26,0,8.72,114.98,114.98,2025-02-04,Credit Card,Paid,2025-02-01
BILL-1234589566,SUB-10001625,CUS-11104,2025-03-01,2025-03-15,106.26,0,12.29,118.55,118.55,2025-03-15,Check,Paid,2025-03-01
BILL-1234589567,SUB-10001625,CUS-11104,2025-04-01,2025-04-15,106.26,0,10.07,116.33,116.33,2025-04-18,Check,Paid,2025-04-01
